รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการษึกษา
6320500611,01355101,709,,B,3,Credit,กำลังศึกษา
6320500611,01417167,700,,B,3,Credit,กำลังศึกษา
6320500611,01420111,701,,C+,3,Credit,กำลังศึกษา
6320500611,01420113,730,,A,1,Credit,กำลังศึกษา
6320500611,01999021,702,,B+,3,Credit,กำลังศึกษา
6320500611,01999111,717,,A,2,Credit,กำลังศึกษา
6320500611,02204171,700,711,A,3,Credit,กำลังศึกษา
6320500611,02999144,731,,A,1,Credit,กำลังศึกษา
6320500654,01355101,709,,B,3,Credit,กำลังศึกษา
6320500654,01417167,700,,W,3,Credit,กำลังศึกษา
6320500654,01420111,701,,C,3,Credit,กำลังศึกษา
6320500654,01420113,730,,A,1,Credit,กำลังศึกษา
6320500654,01999021,702,,C+,3,Credit,กำลังศึกษา
6320500654,01999111,717,,A,2,Credit,กำลังศึกษา
6320500654,02204171,700,711,D+,3,Credit,กำลังศึกษา
6320500654,02999144,731,,A,1,Credit,กำลังศึกษา
6320500603,01355101,709,,B+,3,Credit,กำลังศึกษา
6320500603,01417167,700,,C+,3,Credit,กำลังศึกษา
6320500603,01420111,701,,B,3,Credit,กำลังศึกษา
6320500603,01420113,731,,A,1,Credit,กำลังศึกษา
6320500603,01999021,702,,B,3,Credit,กำลังศึกษา
6320500603,01999111,717,,A,2,Credit,กำลังศึกษา
6320500603,02204171,700,712,C+,3,Credit,กำลังศึกษา
6320500603,02999144,731,,A,1,Credit,กำลังศึกษา
6320501561,01420111,701,,B,3,Credit,กำลังศึกษา
6320501561,01355101,701,,P,3,Audit,กำลังศึกษา
6320501561,01355102,701,,P,3,Audit,กำลังศึกษา
6320501561,01417167,700,,B,3,Credit,กำลังศึกษา
6320501561,01420113,,731,A,1,Credit,กำลังศึกษา
6320501561,01999021,702,,B,3,Credit,กำลังศึกษา
6320501561,01999111,717,,A,2,Credit,กำลังศึกษา
6320501561,02204171,700,712,B+,3,Credit,กำลังศึกษา
6320501561,02999144,731,,A,1,Credit,กำลังศึกษา
