รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา,,,
6320500611,01175121,,711,A,1,Credit,กำลังศึกษา,,,
6320500611,01355102,703,,B+,3,Credit,กำลังศึกษา,,,
6320500611,01417168,702,,B+,3,Credit,กำลังศึกษา,,,
6320500611,01420112,700,,B,3,Credit,กำลังศึกษา,,,
6320500611,01420114,,715,A,1,Credit,กำลังศึกษา,,,
6320500611,02204111,700,,C+,3,Credit,กำลังศึกษา,,,
6320500611,02204121,700,,B+,3,Credit,กำลังศึกษา,,,
6320500611,02204122,,712,A,1,Credit,กำลังศึกษา,,,
6320500611,02204172,,712,A,1,Credit,กำลังศึกษา,,,
6320500611,02708102,702,,A,3,Credit,กำลังศึกษา,,,
6320500654,01175163,,711,A,1,Credit,กำลังศึกษา,,,
6320500654,01355102,703,,B+,3,Credit,กำลังศึกษา,,,
6320500654,01420112,700,,B,3,Credit,กำลังศึกษา,,,
6320500654,01420114,,715,A,1,Credit,กำลังศึกษา,,,
6320500654,02204111,700,,D,3,Credit,กำลังศึกษา,,,
6320500654,02204121,700,,B+,3,Credit,กำลังศึกษา,,,
6320500654,02204122,,712,B+,1,Credit,กำลังศึกษา,,,
6320500654,02204172,,712,D+,1,Credit,กำลังศึกษา,,,
6320500654,02708102,702,,A,3,Credit,กำลังศึกษา,,,
6320500603,01175163,,,A,1,Credit,กำลังศึกษา,,,
6320500603,01355102,703,,B+,3,Credit,กำลังศึกษา,,,
6320500603,01417168,702,,A,3,Credit,กำลังศึกษา,,,
6320500603,01420112,700,,B,3,Credit,กำลังศึกษา,,,
6320500603,01420114,,715,A,1,Credit,กำลังศึกษา,,,
6320500603,02204111,700,,B,3,Credit,กำลังศึกษา,,,
6320500603,02204121,700,,B+,3,Credit,กำลังศึกษา,,,
6320500603,02204122,,712,B+,1,Credit,กำลังศึกษา,,,
6320500603,02204172,,712,F,1,Credit,กำลังศึกษา,,,
6320500603,02708102,702,,B+,3,Credit,กำลังศึกษา,,,
6320501561,02204121,700,,D,3,Credit,กำลังศึกษา,,,
6320501561,01417168,702,,W,3,Credit,กำลังศึกษา,,,
6320501561,02204111,700,,W,3,Credit,กำลังศึกษา,,,
6320501561,02708102,702,,W,3,Credit,กำลังศึกษา,,,
6320501561,01175114,,711,B+,1,Credit,กำลังศึกษา,,,
6320501561,02204172,,711,B+,1,Credit,กำลังศึกษา,,,
6320501561,01420112,700,,C+,3,Credit,กำลังศึกษา,,,
6320501561,01420114,,731,A,1,Credit,กำลังศึกษา,,,
6320501561,01355103,703,,B,3,Credit,กำลังศึกษา,,,
6320501561,02204122,,711,B,1,Credit,กำลังศึกษา,,,
