รหัสนิสิต,รหัสวิชา,หมู่เรียนบรรยาย(ถ้ามี),หมู่เรียนปฏิบัติ(ถ้ามี),ผลการเรียน(ตัวอักษร),หน่วยกิต,ประเภทการลงทะเบียน,สถานะการศึกษา
6320500611,01175112,,711,A,1,Credit,กำลังศึกษา
6320500611,01355103,701,,B,3,Credit,กำลังศึกษา
6320500611,01403114,,719,A,1,Credit,กำลังศึกษา
6320500611,01417267,700,,A,3,Credit,กำลังศึกษา
6320500611,01999213,703,,A,3,Credit,กำลังศึกษา
6320500611,02204221,700,,B+,3,Credit,กำลังศึกษา
6320500611,02204231,700,,A,3,Credit,กำลังศึกษา
6320500611,02204271,700,711,A,3,Credit,กำลังศึกษา
6320500654,01175112,,711,A,1,Credit,กำลังศึกษา
6320500654,01355103,701,,C+,3,Credit,กำลังศึกษา
6320500654,01403114,,719,A,1,Credit,กำลังศึกษา
6320500654,01417167,700,,B,3,Credit,กำลังศึกษา
6320500654,01999213,703,,B+,3,Credit,กำลังศึกษา
6320500654,02204221,700,,W,3,Credit,กำลังศึกษา
6320500654,02204231,700,,D+,3,Credit,กำลังศึกษา
6320500654,02204271,700,711,D+,3,Credit,กำลังศึกษา
6320500603,01175143,,714,A,1,Credit,กำลังศึกษา
6320500603,01355103,701,,C+,3,Credit,กำลังศึกษา
6320500603,01387101,700,,B+,3,Credit,กำลังศึกษา
6320500603,01403114,,719,A,1,Credit,กำลังศึกษา
6320500603,01417267,700,,A,3,Credit,กำลังศึกษา
6320500603,01999213,703,,A,3,Credit,กำลังศึกษา
6320500603,02204221,700,,C+,3,Credit,กำลังศึกษา
6320500603,02204231,700,,A,3,Credit,กำลังศึกษา
6320501561,02204231,700,,B+,3,credit,กำลังศึกษา
6320501561,02204271,700,,W,3,credit,กำลังศึกษา
6320501561,02204221,700,,C,3,credit,กำลังศึกษา
6320501561,01403117,701,,C+,3,credit,กำลังศึกษา
6320501561,01403114,,718,W,1,credit,กำลังศึกษา
6320501561,02204271,,711,W,1,credit,กำลังศึกษา
