ชื่อหลักสูตร,แผนการเรียน,ปีที่เรียน,เทอมที่เรียน,รหัสวิชา,ชื่อวิชา(ภาษาไทย),ชื่อวิชา(ภาษาอังกฤษ),จำนวนหน่วยกิต,ชั่วโมงบรรยาย,ชั่วโมงปฎิบัติ,ชั่วโมงเรียนรู้ด้วยต้นเอง,กลุ่มของวิชาตามหลักสูตร,"fact (ต้องเรียน :  0 , เลือกเรียนตัวไหนก็ได้ในหมวดเดียวกัน : 1)"
วศ.คอม 60,ไม่สหกิจ,1,1,01417167,คณิตศาสตร์วิศวกรรม I,Engineering Mathematics I,3,3,0,6,วิชาแกน,0
วศ.คอม 60,ไม่สหกิจ,1,1,01420111,ฟิสิกส์ทั่วไป I,General Physics I,3,3,0,6,วิชาแกน,0
วศ.คอม 60,ไม่สหกิจ,1,1,01420113,ปฎิบัติการฟิสิกส์ I,Laboratory in Physics I,1,0,3,2,วิชาแกน,0
วศ.คอม 60,ไม่สหกิจ,1,1,01999111,ศาสตร์แห่งแผ่นดิน,Knowledge of the Land,2,2,0,4,กลุ่มสาระพลเมืองไทยและพลเมืองโลก,0
วศ.คอม 60,ไม่สหกิจ,1,1,02204171,การเขียนโปรแกรมเชิงโครงสร้าง,Structured Programming,3,2,3,6,วิชาแกน,0
วศ.คอม 60,ไม่สหกิจ,1,1,02999144,ทักษะชีวิตการเป็นนิสิตมหาวิทยาลัย,Life Skills For Undergraduate Student,1,1,0,2,กลุ่มสาระพลเมืองไทยและพลเมืองโลก,0
วศ.คอม 60,ไม่สหกิจ,1,1,01355101,ภาษาอังกฤษในชีวิตประจำวัน,English for Everyday Life,3,3,0,6,กลุ่มสาระภาษากับการสื่อสาร,1
วศ.คอม 60,ไม่สหกิจ,1,1,01355102,ภาษาอังกฤษในมหาวิทยาลัย,English for University Life,3,3,0,6,กลุ่มสาระภาษากับการสื่อสาร,1
วศ.คอม 60,ไม่สหกิจ,1,1,01355103,ภาษาอังกฤษเพื่อโอกาสในการทำงาน,English for Job Opportunities,3,3,0,6,กลุ่มสาระภาษากับการสื่อสาร,1
วศ.คอม 60,ไม่สหกิจ,1,1,01355107,ทักษะการเขียนภาษาอังกฤษที่จำเป็น,Essential English Writing Skills,3,3,0,6,กลุ่มสาระภาษากับการสื่อสาร,1
วศ.คอม 60,ไม่สหกิจ,1,1,01355108,ภาษาอังกฤษและวัฒนธรรมจากเพลง,English and Culture through Songs,3,3,0,6,กลุ่มสาระภาษากับการสื่อสาร,1
